time,memory usage
1480451211.374344,38391808
1480451214.704535,38391808
1480451217.799712,38391808
1480451221.042897,38391808
1480451224.283083,38391808
1480451227.768282,38391808
1480451231.361488,38391808
1480451234.613674,38391808
1480451237.953865,38391808
1480451241.359059,38391808
1480451244.614246,38391808
1480451247.951436,38391808
1480451251.066615,38391808
1480451254.239796,38391808
1480451257.45198,38391808
1480451260.538156,38391808
1480451263.707338,38391808
1480451266.968524,38391808
1480451270.228711,38391808
1480451273.557901,38391808
1480451276.839089,38391808
1480451279.904264,38391808
1480451283.246455,38391808
1480451286.614648,38391808
1480451289.833832,38391808
1480451293.156022,38391808
1480451296.277201,38391808
1480451299.361377,38391808
1480451302.443553,38391808
1480451305.684739,38391808
1480451308.766915,38391808
1480451312.109106,38391808
1480451315.293288,38391808
1480451318.448469,38391808
1480451321.691654,38391808
1480451324.921839,38391808
1480451328.064019,38391808
1480451331.2372,38391808
1480451334.368379,38391808
1480451337.519559,38391808
1480451340.750744,38391808
1480451343.873923,38391808
1480451347.082106,38391808
1480451350.4613,38391808
1480451353.716486,38391808
1480451357.202685,38391808
1480451360.453871,38391808
1480451363.782062,38391808
1480451367.043248,38391808
1480451370.277433,38391808
1480451373.593623,38391808
1480451376.668799,38391808
1480451379.866982,38391808
1480451383.096166,38391808
1480451386.337352,38391808
1480451389.542535,38391808
1480451392.751719,38391808
1480451396.262919,38391808
1480451399.724117,38391808
1480451402.788293,38391808
1480451406.127484,38391808
1480451409.293665,38391808
1480451412.511849,38391808
1480451415.624027,38391808
1480451418.907215,38391808
1480451421.984391,38391808
1480451425.103569,38391808
1480451428.175745,38391808
1480451431.371928,38391808
1480451434.657115,38391808
1480451437.729291,38391808
1480451440.828468,38391808
1480451444.114656,38391808
1480451447.439847,38391808
1480451450.81504,38391808
1480451453.990221,38391808
1480451457.443419,38391808
1480451460.561597,38391808
1480451463.75478,38391808
1480451467.027967,38391808
1480451470.132144,38391808
1480451473.354329,38391808
1480451476.593514,38391808
1480451480.123716,38391808
1480451483.353901,38391808
1480451486.499081,38391808
1480451489.689263,38391808
1480451493.075457,38391808
1480451496.360645,38391808
1480451499.679834,38391808
1480451503.10203,38391808
1480451506.356216,38391808
1480451509.442393,38391808
1480451512.588573,38391808
1480451515.734753,38391808
1480451518.977938,38391808
1480451522.204123,38391808
1480451525.258297,38391808
1480451528.571487,38391808
1480451531.993683,38391808
1480451535.175865,38391808
1480451538.336046,38391808
1480451541.399221,38391808
1480451544.632406,38391808
1480451548.007599,38391808
1480451551.555802,38391808
1480451554.651979,38391808
1480451557.965168,38391808
1480451561.158351,38391808
1480451564.417537,38391808
1480451567.596719,38391808
1480451570.724898,38391808
1480451573.864078,38391808
1480451576.988256,38391808
1480451580.145437,38391808
1480451583.326619,38391808
1480451586.652809,38391808
1480451589.925996,38391808
1480451593.084177,38391808
1480451596.506373,38391808
1480451599.730557,38391808
1480451602.860736,38391808
1480451606.040918,38391808
1480451609.254102,38391808
1480451612.53729,38391808
1480451615.768474,38391808
1480451618.915654,38391808
1480451622.33085,38391808
1480451625.468029,38391808
1480451628.732216,38391808
1480451632.236416,38391808
1480451635.546606,38391808
1480451638.906798,38391808
1480451642.240989,38391808
1480451645.58918,38391808
1480451648.986374,38391808
1480451652.274562,38391808
1480451655.509747,38391808
1480451658.995947,38391808
1480451662.158128,38391808
1480451665.307308,38391808
1480451668.348482,38391808
1480451671.538664,38391808
1480451674.734847,38391808
1480451678.056037,38391808
1480451681.344225,38391808
1480451684.563409,38391808
1480451687.755592,38391808
1480451690.908772,38391808
1480451694.120956,38391808
1480451697.147129,38391808
1480451700.333311,38391808
1480451703.644501,38391808
1480451979.054203,38391808
1480451982.346391,38391808
1480451985.483571,38391808
1480451988.718756,38391808
1480451992.064947,38391808
1480451995.290131,38391808
1480451998.475314,38391808
1480452001.639495,38391808
1480452004.954684,38391808
1480452008.02686,38391808
1480452011.34605,38391808
1480452014.521231,38391808
1480452017.918426,38391808
1480452021.299619,38391808
1480452024.702814,38391808
1480452027.881996,38391808
1480452031.184184,38391808
1480452034.443371,38391808
1480452037.802563,38391808
1480452041.141754,38391808
1480452044.480945,38391808
1480452047.876139,38391808
1480452051.096323,38391808
1480452054.305507,38391808
1480452057.640698,38391808
1480452060.731875,38391808
1480452063.946058,38391808
1480452067.106239,38391808
1480452070.383427,38391808
1480452073.738618,38391808
1480452077.103811,38391808
1480452080.343996,38391808
1480452083.55918,38391808
1480452086.991376,38391808
1480452090.316567,38391808
1480452093.493748,38391808
1480452096.888943,38391808
1480452100.072125,38391808
1480452103.207304,38391808
1480452106.27648,38391808
1480452109.648672,38391808
1480452112.827854,38391808
1480452115.90603,38391808
1480452119.094213,38391808
1480452122.308396,38391808
1480452125.707591,38391808
1480452128.973778,38391808
1480452132.146959,38391808
1480452135.346142,38391808
1480452138.62433,38391808
1480452141.852514,38391808
1480452145.003695,38391808
1480452148.133874,38391808
1480452151.38906,38391808
1480452154.70925,38391808
1480452158.04044,38391808
1480452161.151618,38391808
1480452164.462808,38391808
1480452167.705993,38391808
1480452170.919177,38391808
1480452174.108359,38391808
1480452177.651562,38391808
1480452181.070757,38391808
1480452184.123932,38391808
1480452187.290113,38391808
1480452190.409292,38391808
1480452193.836488,38391808
1480452196.992668,38391808
1480452200.117847,38391808
1480452203.264027,38391808
1480452206.47221,38391808
1480452209.96541,38391808
1480452213.2866,38391808
1480452216.728797,38391808
1480452219.848975,38391808
1480452223.086161,38391808
1480452226.363348,38391808
1480452229.465526,38391808
1480452232.626706,38391808
1480452235.66288,38391808
1480452238.953068,38391808
1480452242.176253,38391808
1480452245.27843,38391808
1480452248.507615,38391808
1480452251.56579,38391808
1480452254.972984,38391808
1480452258.149166,38391808
1480452261.402352,38391808
1480452264.549532,38391808
1480452267.862722,38391808
1480452271.188912,38391808
1480452274.504102,38391808
1480452277.701284,38391808
1480452280.888467,38391808
1480452284.062648,38391808
1480452287.315834,38391808
1480452290.477015,38391808
1480452293.7092,38391808
1480452296.906383,38391808
1480452300.021561,38391808
1480452303.111738,38391808
1480452306.457929,38391808
1480452309.844123,38391808
1480452313.024305,38391808
1480452316.371496,38391808
1480452319.464673,38391808
1480452322.818865,38391808
1480452326.170057,38391808
